Altitude (m),Water Body Proximity (km),Rainfall (cm),Slope (%),Dam Proximity (km)
1835,3.57081097404968,21,19.1369756538057,46.1669769030555
606,3.53472030258135,147,24.6572197821595,38.4007455962248
2841,6.89056638850321,72,1.61132021065853,46.1355729211739
2803,5.42470459359879,59,4.69918727072154,27.4072436443862
1325,7.84046832444583,179,21.2769535187456,28.7088747079352
1416,8.35476294549578,58,1.01406237939969,8.8465632960914
1180,7.13998226306523,135,23.9516103392217,34.5962722820218
2693,1.61354933541428,175,22.9752811969616,4.98552841478688
670,7.1315459173344,152,25.58361968584,41.0299021417979
2453,8.18232933626698,121,24.5649960683487,29.551065857338
2955,0.22197588651097,146,1.18493420900017,0.053000716894458
2046,3.40175707502334,38,18.1802134305851,32.300909335197
1488,6.2356113359985,1,7.32127740329976,16.3718609027972
1906,6.3899271811447,67,1.80042186109108,9.92708186677724
1407,4.00864659381147,169,7.91260041434472,38.0501958611403
634,3.73064561283745,125,11.5587948534706,43.0931567074067
233,0.79689744334471,61,3.47016925439983,30.6224930213863
349,6.84987200706877,138,12.7994303324075,23.9696366944151
2127,5.71531739978157,179,25.8899492854132,27.359468930386
517,0.327562581026913,12,11.3578359221523,25.8066200815045
1289,4.78181635887517,14,8.59794722515369,11.303438587027
741,0.191610058612649,41,4.15944345405248,4.16780602461773
1876,7.28035971418282,51,1.32962560522987,38.872590711145
1620,3.32755276172073,119,29.418966124151,29.171301247769
591,0.0804954474090691,112,6.38983954353618,1.26653600750215
2275,0.00584332169814905,170,23.0455865271428,48.4135222094811
2855,0.254564025560882,188,2.98094771714196,23.7182231745884
2243,6.73855635654448,165,5.39184494389311,46.7170979451562
131,5.51164864274712,17,18.9915974152084,33.73260449707
557,4.24934893146537,189,2.99559277002106,40.113615019258
708,3.56485015203746,92,3.09456726258633,2.35713896270517
1360,1.64210304713088,112,17.6214675473143,24.3517177293621
2252,2.82790197083477,150,11.7388234606633,34.9355746058039
1653,7.65338073682003,93,16.6925478219509,38.6306802908932
2132,5.73496619486126,11,16.5511980701847,38.1820174531521
459,9.81009188294601,30,25.3602976125941,13.9504804662622
590,2.57540134319935,81,2.09154957596621,17.0221082636197
1817,5.58889082822387,16,26.5878041419197,31.9611513555581
1564,9.1724710385428,158,12.2531073395818,41.7674031020248
1329,0.736759091548616,6,29.2166558301807,35.3635858555544
1879,5.89367612424575,130,16.3283923944619,13.4445954624564
2317,5.7924845253954,182,0.590139521464587,42.6242622023314
2563,8.36035874667083,3,11.316570792772,37.804802158502
822,0.32953835164856,100,0.2814046869373,35.434420619327
2205,6.42669436353918,158,3.93629310991545,31.2974144572222
1377,7.60944321384661,78,22.4314987755761,18.3349928708516
1446,2.4349272170293,121,24.9036404154006,15.0828223411655
1456,9.38399967841435,115,8.2463441489197,38.9989281021471
1770,2.95243552680719,138,8.60082215375767,42.6828908721553
247,2.19687244502829,32,1.72606248129588,38.9465167671195
2563,3.7014885334349,103,5.79493393513027,3.17158889118097
2745,4.79148617550841,126,8.27938214183724,17.478070558492
2597,6.96424913949593,142,29.9230132316302,39.2660199693818
372,3.65162719579496,167,5.82352737040242,17.1343718315624
1227,1.6168137388149,174,4.44946478209486,41.4783580051779
1034,5.99978723500386,79,12.98052090052,29.5199056970838
2098,3.9710094292712,108,2.50784398495923,2.48298730526643
264,1.52845025314235,123,4.41560629293761,38.6400871634547
286,6.58613785894648,32,13.535208348787,49.9481902432182
684,9.91905502386105,91,10.0646217973395,41.9487822822292
512,4.69996442771941,62,23.5580196010891,1.79270529154333
2149,4.31704627990848,191,6.57593958888767,13.8950096448974
1072,7.21055879153011,8,12.7114882894128,35.7240575942269
2584,7.65382456604853,179,6.64026104421503,29.2546711629983
2946,4.42826205312679,107,9.5157472526994,35.5516482634648
2252,0.874251029654977,140,7.66505398029496,28.100235862638
1966,1.76073276571636,174,24.4029010142883,23.5355213260058
491,3.43362343910615,119,13.6632590354325,13.4203401675319
1712,7.68437472793114,102,15.2997265462682,38.8957652608524
1338,0.665912621417772,86,21.3073734164794,41.6166122941559
295,3.58717237095462,80,19.9145691164963,47.315857649156
2879,5.12559536117266,186,5.79552414564194,0.555438796814761
1761,7.20612227934527,87,8.11249976689175,19.6250488121375
749,0.254057969066418,97,12.9093848852585,46.1867945246464
2856,9.74171953507938,148,11.7551042423653,13.1533823642601
1746,2.41555728501075,81,22.8752678314615,4.64649393025839
2382,4.45979755764039,49,13.9236511332736,11.9343937000891
2051,1.35833428451716,115,13.4119914798301,14.1087000744617
863,9.63190407092893,169,13.3174372592151,36.2761652211809
1774,6.25721700807049,159,0.407908688904447,22.7730613790883
884,0.428388355705678,30,8.91043356673416,4.60498115791363
1260,8.42420762729456,197,8.53060417106872,47.5511206027165
262,4.10411907717742,146,21.6765445345025,34.1011428202299
1597,0.370663884346254,30,28.3763506813793,18.5749357305719
2480,5.69395373424976,27,8.31570441639584,49.0000740976149
2603,0.0636284112460606,82,21.1191011608153,14.1463696327111
1725,8.84867564094999,140,7.22672951538457,5.51820785640924
1486,4.51657533740493,121,16.947891108743,16.8093256688999
228,1.64891915758856,190,17.5629783958841,7.7844436365977
586,6.74294361608498,97,27.0427411233437,36.39697737022
2341,7.95551677692094,79,14.9512716646461,11.0550979481258
234,7.19412269578936,69,18.4730039035661,4.5437746882825
2239,4.3753370884568,171,10.1583021844688,30.5028875718652
1041,7.05175100169086,100,19.4289163209111,24.8619530318745
1413,9.47438860386201,28,22.4407737711487,23.5643851822456
1429,9.18645005798144,117,11.4383174752906,49.3704756034219
751,5.55382510101128,180,28.3117983179982,45.0277232709052
2639,4.05332219759662,189,8.53280503838627,33.5521041586561
503,6.7910847165267,175,25.8317789708493,41.3698342898188
1291,4.06718982961856,138,29.8939629934061,43.3593272468266
322,5.13697444261595,137,26.6875559487169,23.8584946453462
2068,0.131284172188332,168,26.1818574426918,30.7177658773465
383,8.06988441741695,88,26.3726647303549,11.3845441891784
2154,0.215497328343681,116,0.127950630580533,26.7029003452857
1670,1.12668912115165,98,3.98504410209455,39.5559781343866
2096,7.61307543886353,93,17.5766948016865,18.1705460172722
2115,9.77752935765376,44,13.861201875113,36.6966882702057
1948,3.61396486689475,139,7.71805312510283,9.05824682959915
2361,4.084202263496,137,10.7873370984474,46.8552404458535
629,3.29631837596113,136,7.60503670461694,20.237524222379
415,7.63634143892365,67,24.0634457263441,36.200622342749
2040,0.710511233856082,66,0.707616482648279,40.7603223752113
72,8.0830941059156,135,21.9871320162647,1.81107037794096
1072,1.17538670156944,104,29.4943359735106,45.1201236847255
1837,3.197228306932,91,5.50354534052881,9.27632021412324
831,9.96024882868697,104,22.1338985015732,44.4029964333095
1724,1.23540407191525,137,24.5137189933411,8.81392733596906
591,9.60928429136977,8,5.30843074028562,12.3407043715503
1221,6.67392826069387,109,6.86841879611195,8.19472063367756
791,7.84997934892332,184,0.575493136811073,43.5166034678956
2702,1.14786748665215,132,23.5017666784646,39.8175392991081
1971,8.1696436499163,166,21.7623471945392,8.81484126485585
537,7.37902044105637,140,23.1525222675373,3.05701969730459
793,6.69588033403781,45,0.0538724107052979,8.92380888762324
2045,6.28956928759842,78,4.8686797974195,3.54853918471873
2716,6.7615715764197,43,9.49152914141647,43.645395033402
2933,8.40616428563157,87,19.1561830284598,4.66070580559732
2126,6.21654825663164,135,15.2144909665051,16.2104278474599
2048,3.00744328170565,117,29.122955644869,33.6965876059231
1600,6.2693640741702,15,14.8450644365871,15.7361861424849
1147,1.9623049082589,100,0.682956077166768,14.4132735468681
2982,6.32904743187927,21,28.2605656476978,2.6664157195586
2152,7.99293999155434,62,3.74117730780954,20.4768969404348
1847,3.15258694661292,157,8.41399024150701,6.33594457560285
1621,5.21359967919015,162,5.79237798825982,19.358576186966
1966,2.16113090154087,71,5.26318158107181,43.8380997470625
717,4.91220803873289,148,3.97164976608367,19.3741844697108
818,7.49754058599192,94,18.0469839287791,22.3344570978177
895,5.55896560855806,178,21.6331805394738,46.6612772025069
44,1.82416768053936,130,11.9981853426032,0.691798697183471
1732,5.42216916966692,121,3.44104295922844,44.8809889990398
210,5.30895843674446,101,0.871096477376129,19.191475352916
1218,2.00679565176434,146,10.3634186931479,49.3500048603241
2697,9.27099642527734,61,14.7400384553652,31.8829580421143
1785,8.03850395260769,110,19.9319305403672,26.0941206907207
1113,0.131434937061775,105,8.67630012928131,25.3735736007219
2011,1.17698272931685,169,7.70323813880121,13.5372307254242
1666,3.03247582456151,189,29.2224037809092,16.0721739793313
488,2.00169111665099,141,10.9178609717597,5.13351476677805
1434,5.25215179380549,35,18.5367453522274,7.58171428867018
434,4.04390144485103,68,19.4326051751199,11.9962352080622
2318,4.27878407167959,71,9.82579237247861,32.6905800047335
2584,5.25780513549877,90,23.0138645779593,12.3456098910434
97,0.794069039299067,21,23.6951372319567,37.5752494932814
285,6.79866330601534,196,26.301012756364,49.6043938965206
1230,5.04375221914382,100,27.2675682598771,4.56380254053225
1123,3.16352974292389,147,11.3769598020057,8.78380927288025
2412,7.7989272079899,113,13.9687930479253,10.4435865275887
981,3.03881199977652,34,27.996795756794,31.2177641975259
515,8.93630228769072,81,16.9477664984744,33.5765395101704
2974,2.76114805452179,120,2.33300761801451,35.0790134601129
1092,4.91037224893887,73,3.51131502666241,17.4174785388082
2953,2.30688450962387,24,9.85450602998725,6.96776027741218
481,2.23387452088313,58,26.4665929907707,7.32203582500548
1443,9.35666603277795,114,25.417892076969,38.001387784352
1337,8.29405738386927,121,8.36803239039496,30.7354564143049
2148,5.76567062550786,22,3.68253623374719,45.5798846076815
2607,3.90762578564401,126,8.35606136436909,22.2791913991642
404,6.3059947530605,180,22.5748179013096,23.9881021445389
251,6.6374638794877,115,7.47485526253701,6.71246373359095
434,7.49337552067755,193,18.7764721064351,49.1908731257079
762,5.16712775966323,62,21.6351937354129,33.8195051444985
158,0.412480393352835,25,8.7545223175656,10.4787339312471
1148,5.11901649626534,72,5.11520511113927,7.86098895120419
709,7.33224295124153,68,5.44676603546351,38.0193233010401
1887,0.165361156286455,94,11.4117015004979,18.7203797040513
1923,7.11546091249433,165,22.0112714581569,21.2863249189054
2332,5.45040414529781,54,0.0454333639173099,4.39767471592674
1279,4.73084825777945,115,3.86250541608687,43.421182760244
1154,5.67367483442058,49,5.40809707948981,13.8027139282991
1670,9.97000135764549,185,12.0488271407325,18.5632839827611
2316,7.31051881399537,193,3.54174573721027,6.7804503004743
2588,7.83529137395822,167,7.06276674010009,23.221663986825
2500,1.98415105505304,59,22.7265951289623,43.9414312458895
2103,2.61047332111541,118,19.3124066471751,32.566499732941
2097,0.192657187813333,133,9.67096453261202,22.6476419786625
128,1.02820276712047,131,26.9034460582948,0.56689762043064
597,3.46846772788678,134,0.0858222240728013,23.6586067712218
803,5.46507343933285,15,13.0820215934139,47.3857044649759
604,5.96314923049571,48,15.7352237448224,20.0417222795815
1686,5.96293429865034,20,18.3431554523893,11.0339424438621
1078,0.687311933511187,5,21.0329289005732,29.5995228982926
1494,8.69909379518427,184,21.0278145173716,17.7885764071972
73,1.4575170152358,12,28.2057211655394,42.2339405027758
917,9.55129073314454,60,1.17161332331296,14.2453174783523
2538,2.76676165962936,166,20.124422578432,20.0420272865136
1139,6.82336825622365,70,14.9452058576314,3.1043726794041
424,8.82740018211983,6,26.8855555275686,37.2716351480753
1879,8.59774365781787,145,6.49564215733061,12.1820373428719
975,0.617999347717567,16,0.195241739165484,38.4225704327061
2062,9.75794954246449,102,8.73028794960515,48.8703088907015
2580,4.64384734560354,147,12.9610804753768,4.28841583819002
1810,6.4977153471009,171,16.806133230196,0.495211234093462
193,9.57289942495957,10,8.0074606372466,12.3480325736767
2053,1.81902795905675,123,26.343630648554,49.922280727527
2544,0.547074157625237,85,15.1956334124004,28.1074552335876
1956,4.05078705903063,64,5.51819130694091,37.5265714995995
2426,4.30510383327102,33,16.1486691938862,4.66068352027699
72,0.260558304269509,53,5.25358323949809,36.9000184682091
575,5.03695716199566,17,21.9110408296928,20.1464038585288
1125,7.92209883312995,106,11.1484693221959,17.8951692662757
22,8.92252576017414,88,11.2583074918186,10.5894190325832
1607,5.26533071086107,43,10.007494389758,20.4562175148045
1862,7.9301209141083,1,5.67006389938157,46.2062833002386
2508,1.40575938215448,167,3.25154266310768,5.92132029919962
1076,2.25156560870449,55,29.6605799934567,24.901097830756
905,7.918351890662,200,0.497896598161687,47.3934117538254
1832,9.39750433312668,19,4.15428182035071,37.8704739131628
2258,2.88505254526111,173,13.1999984457389,2.28735718310761
2830,4.48006631487939,116,25.4183897805802,20.2759139429994
443,8.79800920166922,59,12.1078769992032,7.90530773255437
1925,9.3872687036934,33,5.12627385849439,47.889329540671
1828,0.724526436906412,197,27.333999523229,45.0019181063036
1174,2.07176333042939,119,28.2412789411753,13.3907605596718
2694,3.99571570411573,133,14.8350123142291,38.196781480797
2663,1.44285547837644,84,20.6784911746084,35.5411863878801
2220,7.66012221594915,157,25.3623679307834,16.7803731469353
308,2.81281158477206,150,0.590813594320573,9.97478915641759
2793,1.81503106742037,183,22.9358575687909,26.1062112287058
2450,0.36202284489299,133,29.5185222554916,20.5972363842087
2410,9.80808818158115,18,14.6035312944523,37.328808406012
2760,3.45471048311171,148,13.1725347098038,22.8683560992093
103,7.65436338331447,33,14.1548528542231,45.0392717624412
1756,3.31600634417372,56,2.71806499977654,45.5088024006566
743,1.77742901182272,20,19.1704703080177,0.38484974478708
1985,6.47763848940307,21,16.1096775603995,44.714365444707
2292,0.24727855339724,17,13.913740081567,7.71404986631115
859,1.0588476437089,46,2.50294547256792,7.51557834682275
1577,2.08845896114545,62,5.61244800079001,4.21653980765815
2522,1.02427003272128,189,3.93503120819705,8.59574840914884
2646,6.9597613064244,97,16.0810031525943,27.022269103605
1333,2.36356137748241,91,16.1466014200822,47.4576085038646
734,0.779391830500515,131,24.4544399261153,1.18068230965198
583,4.27047606579947,118,26.1879527544135,34.3552103952067
846,2.54430112806148,13,1.2615553856866,42.2047567723248
2513,8.07572976994797,91,19.3522477839472,10.9725307091443
1660,6.68837213229958,127,12.3622037167426,27.2397477200504
1794,5.92496349860019,33,19.9565454257209,4.63078377866416
40,1.64661446282673,145,12.3485292639203,31.9266264763457
1736,2.45998925220962,141,28.5833604171429,36.4440418852352
99,6.72051823835085,34,25.6966021789244,31.8409163509719
1399,5.18171428607404,187,22.2688517159145,23.9991787022724
1561,2.78931037513632,157,22.3002851856177,29.5808725925357
2812,9.42379903848013,80,8.66735092506362,4.99550279376657
2606,7.50234097336488,83,28.4484950365672,46.9330758241402
1620,6.51412806299324,20,0.289950887866078,29.2184141580869
706,9.72792097010186,57,29.1274401879898,43.0353087331809
2071,7.05338023858272,106,4.63835118548775,30.464944987052
249,6.9637241354353,45,0.897083697616089,17.4581226443593
2352,1.94048188479353,193,7.40972302044824,48.7289596421907
839,3.04194689009264,30,15.0965280014112,38.5077117817566
221,6.25848454399956,186,27.3196924430479,22.6774759888202
19,8.66931044541085,96,16.6178324264796,37.8196789367528
165,8.74983609976865,97,9.13507249776161,6.92302774467979
1848,6.49421327910932,150,17.8041927875307,38.5270901402524
2166,6.74124318441178,70,24.6834692963257,11.2839455907584
556,3.1725542870149,125,11.1621313423565,6.46771754535047
2752,0.32588970444038,30,18.0347208908973,13.8356897081393
1582,7.97136977257437,133,14.4275418706023,24.0063872592111
1557,1.3754804918595,91,26.8337811987788,0.928571706996573
800,3.12172781723041,120,27.1630951128949,25.6402332154064
132,3.36841287953589,150,6.94822289948085,4.9124099487897
1756,6.21780969198312,91,2.56695923249071,40.3261516128213
559,0.905638115629692,33,3.85358440571493,29.3535453161568
2709,0.974486037824516,177,1.14001234075436,31.4341540442854
871,0.799202239890201,91,20.4062861493103,40.9424499055014
1709,7.86102777114907,156,19.3194374829086,0.852312142559097
2604,4.69985998513707,3,17.3063210652012,10.5612030615272
454,0.342965547104581,144,11.6539132554177,28.0584599669426
2845,5.34589902720153,144,13.7682466547682,38.6917037087545
2226,9.35349895165657,98,1.97659204657426,39.3314582769647
906,0.826738293598277,163,5.92161303144751,21.9789165678143
329,1.51863472948521,159,17.2022614003315,34.6220318804748
950,5.45147020997094,177,18.9658572605755,48.9304453065609
90,1.11447425515484,127,24.735410709751,21.880708125051
2568,8.66324211695731,149,3.51831103882209,8.61019349554717
2399,9.83068130469321,171,24.2236147987046,38.8949120178542
2834,2.10706423670546,6,19.36560279032,43.4386523606817
2544,2.35386737092735,45,5.72850476597112,26.5440944829867
1170,9.82029482274553,97,26.4130224415185,12.5614582661358
2150,6.40887683982836,142,12.5519217554515,45.3975917603216
1257,1.84467075697581,12,24.6013632508732,33.567592713104
2702,2.36791329296347,75,3.56172472156757,24.7052347635677
2866,3.9681789649567,69,9.47091044400479,23.5723327061863
615,4.94341847881319,125,9.14266733854531,5.37910813406045
2864,7.58939683696273,17,29.0458193417034,15.0869106205008
2005,0.081789248680656,77,3.48048553493306,14.018097566882
2400,8.34206551794168,113,17.3131160978829,39.737535832998
2541,5.46779664248936,19,8.59686777215219,10.9819848797621
2900,6.57678085679612,200,8.20944588341088,32.2825219124614
1671,6.5054762241676,163,25.9873957935112,1.06898809597468
2196,5.26829070301316,168,7.32953738443661,49.6880632333363
1090,1.7944095295249,4,14.9315877323687,27.4322457612624
1288,0.0759731418671339,110,20.0500643081916,11.9195061469604
2379,2.1726380202182,149,24.3412330368485,23.981430899505
1460,6.59641463055068,5,5.04232666856311,16.1919829421069
783,7.464084654632,159,1.78859094374167,4.19590822161933
62,4.21976883264787,101,21.3531029854634,45.5002344976398
2719,2.01486074471632,177,2.19600349265311,4.84788694226717
1225,8.77803643608478,112,28.2436474353152,4.09836204507407
1669,3.05378707224753,39,1.86533587648238,44.3921286871119
1052,9.97254193863891,174,0.222399433235027,31.0963410087333
1940,3.70705850551907,174,13.8020306141704,49.0166457331093
2819,0.253152325305602,192,27.1562527811081,17.9904103835995
272,7.13036433377819,101,21.989391780778,41.7323422686472
1950,2.78438929346357,16,28.8519881393538,38.1195225500843
2432,9.63453161044041,81,3.71666281144578,31.3556597670928
846,7.26113960720131,18,29.6827735576421,30.4212605401811
1419,0.523549555419721,10,27.3926952357765,8.19680962039103
2262,9.72288986446193,89,28.2509715635022,30.1852089673745
2317,4.37965839777094,64,18.7441125898151,8.88381572965486
928,7.10401543093093,164,25.8144443205813,45.5610377595127
787,1.93446716924226,36,22.039452702489,43.7996008289836
372,0.346940735458263,190,11.1074964648349,19.4280309694204
143,1.19592994442664,40,5.27824560380693,28.1306025272473
2256,2.77849011940138,104,19.6757587764552,48.0206512521174
1558,7.89630696013179,74,20.608563313827,10.1957603684573
1778,4.08455767870034,115,29.965150814246,25.8087547130465
217,9.95367196576344,96,8.45786041699294,25.1508514921829
1853,3.8850441194052,105,8.65802304761436,30.5432936436276
2043,7.12097881789409,91,0.910789110546759,14.3924925873233
465,9.87214877341948,144,24.1986775275538,6.72721512180486
1574,3.93060803534473,105,7.72149487639794,10.7047213109999
884,9.80897006728911,19,13.0073314901533,7.38889067848599
2431,7.17530712778961,9,23.6362045250853,35.8118965781649
2849,6.41734761170553,169,28.1470681510294,24.5521815949332
2140,5.0781512794061,33,2.18895028965246,0.641407013544798
1313,1.37702414338298,107,20.8488850307027,17.8079539522015
106,0.109088958922822,46,28.6938880069438,37.373512486268
2987,5.3574872077125,125,25.1495048090734,8.40991475987347
860,5.95586579383849,75,22.7596910344237,2.67146309123049
2692,3.23172477709189,149,23.6386200051383,23.9943726198404
2867,8.15276457016783,80,13.2903164874744,6.8690068220892
673,7.57552922361943,60,1.27537753333378,35.9821896193337
2487,6.0270584351364,49,27.9694160798122,13.3255748844587
1723,9.42857255218876,137,22.6446269549523,18.4649189056854
867,1.41286114275231,114,19.4519424903684,25.9015897839932
363,8.57599255903141,156,28.0962338409137,17.5749980206608
130,5.92168192346121,120,25.6680971714089,38.6766286500415
2068,5.6147351605158,27,0.665245748708186,33.1262780548731
2043,9.70868571636317,74,10.5342129801363,5.98827720469733
1053,3.06856851623313,93,10.5734060320222,43.9766888381129
494,4.47845906562624,117,18.1598379157014,33.3388499449772
2547,2.97076162187294,68,19.5120189901049,10.37101828709
268,0.48496896873231,11,6.77038932569873,2.54426428998251
844,8.42030387834717,83,28.3496865280977,4.84292372809121
2319,1.92847710672817,169,16.687959591526,25.0546158640112
2938,8.83171053515327,179,9.71178480698668,13.1544826785726
580,8.88089090701628,148,25.3123903056257,36.823899581657
1473,5.86295729217974,123,25.0198945122537,32.6711134601999
1858,1.58401626064264,15,3.96204266481074,41.3755035098413
2501,5.58172773947529,144,0.0893362523787511,30.0143814576891
2506,7.64308508048226,114,6.83983736297913,34.6802405784891
1003,5.71941645938467,86,11.6208348018101,20.1170011151743
1863,0.0888725577300953,97,2.76364206563062,21.3728637792609
270,2.09718294642286,152,13.5640123920503,11.3687529852726
2417,7.55211611076588,123,29.4230971440372,23.6957731098244
240,1.67586782657615,145,21.2898864533457,9.58066457563339
2727,0.209199979526381,63,11.5901761358526,43.4731649883488
335,4.33821450660512,194,12.4914640772227,33.615755330708
755,9.40437377638857,134,19.2913529816594,45.4106055860093
462,5.92337509077635,161,17.8091175436114,6.90145748311852
815,2.76676719819063,132,27.7715646556767,35.1673683871624
415,3.88337588646215,2,29.284580401395,48.8956948494923
1161,2.44674530848266,178,14.1775540314893,12.908394293833
2062,6.14303085144995,12,6.18667110746255,17.6018290256602
134,4.78480472640483,4,6.83268510105295,34.1119371990849
358,1.405346447244,84,21.4602799584503,22.0558107154879
1607,8.66296888697247,100,3.64339797002617,17.9888204445848
1655,2.57468578252458,87,8.72351569529537,1.86800650953289
1693,5.7949289712648,179,7.22499073077737,11.5954827561592
1182,6.18872052971325,149,12.5624837826341,29.0677015816584
582,7.03197118181854,150,27.3420144894118,1.45620795283213
482,9.25349350351094,71,23.3676661225982,34.4977724098576
2475,0.336924842372459,56,24.640853560864,24.7026480170482
468,6.03894914988837,51,2.66673818317901,42.8859641521819
2283,1.6596123687805,81,27.2688932812826,48.9776648426984
1494,9.96956023032038,136,27.5427400611545,44.5229570007175
2848,0.459804663753083,192,8.42924172906737,32.9953015014707
2494,9.73829331321922,130,3.24753376602019,1.11855013010276
2502,4.37774384659437,64,13.391171407989,3.56570520397865
2298,4.35115867099174,4,28.4596289008509,31.201851741844
1300,8.85369672799986,75,12.3505971778306,44.1300664137953
574,3.80854503087313,138,26.401562113758,43.4904162781755
2010,3.01403769139089,50,9.2870969203464,43.1891184778015
389,4.05138656668454,1,13.915923906259,26.29219208304
2320,4.91916237517387,48,4.48172318751586,49.7435476971785
2807,6.95307797185509,119,28.1565352624863,45.5258889837698
727,9.11641633728352,162,6.49613955753984,27.5792232347523
777,9.08229308190005,128,26.8194053637306,4.31730925639554
1346,8.76415422421697,179,16.5404179620111,15.2313793655743
1338,9.54013199274296,51,23.1946330500048,43.6016290379058
1970,8.08144342815077,150,0.976378060562838,49.5435195619652
1492,7.99510236121758,114,4.45249092620003,28.8631157686296
1585,6.8340043978268,64,18.9091471457197,24.8638951667841
887,6.04702219239837,52,22.8885100769638,4.70519619566459
1903,3.25465633563194,88,12.667392324723,23.5841103787535
378,3.39449026085,154,28.4620047898924,16.4936456780499
282,2.79272914344514,135,2.92016297527436,28.7025919287357
59,4.96519994580472,165,24.0498738910909,1.33757931819671
2781,4.8289749160687,80,26.4543154184588,49.1154318891333
2811,7.34518094425223,9,0.633248962625406,16.5946767537393
560,2.95829914149473,55,10.8661751686897,10.7747126258703
32,0.987480412816184,139,7.2798055785521,43.7205608363019
1958,9.02840954606528,30,21.4059063380781,14.2400728973191
2900,9.62753752832145,54,13.4157495916174,31.4752698426227
300,2.11873302641053,173,21.4961785151283,9.14022323472012
2375,6.31912568572884,18,24.2544682902775,42.3979521497913
1544,2.67303227620127,23,15.5873508571508,49.076838470175
1626,8.12791182043237,134,23.5974461168739,2.77550900257562
2321,6.96383776506692,20,13.9478961351596,7.05939208995865
475,8.01405915687677,54,7.13046427067666,44.6834360933344
1724,6.23697628043291,93,16.9867746181336,12.3202742299766
2218,7.84262056666874,26,5.11956119543651,21.7850594218513
301,3.90998657430787,190,1.55762505137422,35.2953158951002
2538,9.69438522281975,145,29.8788167297765,27.9590563404322
1765,7.19616305920668,124,3.83202942365199,34.1236255439864
366,9.40523006493429,141,7.76759186640029,45.5010149606948
887,0.92870216242707,177,9.83349687723099,11.543745172908
1563,9.45094505734524,147,4.74885474391119,42.5665024874963
